player,team,pos,tldr,summary,c_fastball,f_fastball,c_slider,f_slider,c_command,f_command,sits_low,sits_high,tops,c_hit,f_hit,c_raw,f_raw,c_game,f_game,c_run,f_run,c_field,f_field,throw,c_curveball,f_curveball,c_change,f_change,c_cutter,f_cutter
Roki Sasaki,lad,SP,"Peak Sasaki has talent on par with the best overall prospects in baseball. It seems likely to shine through in a profound way at some point during his MLB tenure, but Sasaki’s injury history and 2024 downtick in stuff are notable.","Sasaki cemented a legacy while he was still in high school. There was a stretch when he was asked to throw nearly 500 pitches in an eight-day span, including a 12-inning complete game during which he also hit the game-winning two-run homer. He became the LeBron James of Japanese baseball in the process and was the first pick in the 2019 NPB draft, wielding much more arm strength than the typical top-of-the-class arm there, touching 101 mph and sitting around 97.

In 2021, Sasaki amassed a 1.98 ERA in 77 total innings across 15 starts split between the Eastern League (NPB’s minor league) and the Pacific League (their top league). The 2022 season was his first full slate in Japan’s big league and Sasaki was great, making 20 starts, pitching 129 innings, posting a 2.02 ERA and making international headlines by throwing 17 consecutive perfect innings in April. At one point, Sasaki retired 52 consecutive batters (the MLB record is Yusmeiro Petit‘s 47) during that stretch. Sasaki was having an even better 2023 — 85 IP, 39% K%, 5% BB%, 62% GB%, 1.88 ERA, 0.92 FIP — before he was shut down with an oblique tear in July, which cost him most of the rest of the season. He made three appearances at the very end of 2023 and his stuff was crisp as usual.

In 2024, however, it backed up pretty substantially, as did Sasaki’s overall performance. He hasn’t been healthy for an entire season yet and most of his relevant stats (his ability to generate whiffs with his fastball, avoid walks, and get groundballs) took a nosedive in 2024. Sasaki’s plus-plus, upper-80s splitter (which often has slider shape to his glove side and can easily be mistaken for it) is still easily his best pitch, and might be the nastiest splitter on the planet. When he’s operating at apex, Sasaki looks like a slam dunk, top-of-the-rotation talent, like one of the best handful of pitchers in baseball. He’s young and seems likely to return to peak form at some point, though his injury history and general volatility keep him from being a 70 FV player. After buzz late in 2023 and early in 2024 that he was poised to be posted after the 2024 season, Sasaki signed with the Dodgers as part of the 2025 international class and enters camp primed to slot into their big league rotation.",55,70,55,60,40,45,95,98,101,,,,,,,,,,,,,,80,80,,
Roman Anthony,bos,RF,"Anthony is an explosive athlete with some of the best bat speed in the minors, and enough feel-to-hit to weaponize most of his prodigious raw power.","In high school, Anthony presented clubs with a risky but exciting combination of present raw power and long-term power projection, but he made a below-average rate of contact on the showcase circuit (71%) and, at his size, seemed likely to end up at a corner position on defense. It’s part of why he was in essence a late-first round pick (he went 79th overall, but his $2.5 million bonus was in line with the 30th overall pick) rather than an obvious top prospect.

In pro ball, Anthony’s swing has become looser, and more active and kinetic, as his hands build enormous momentum before they explode and break the sound barrier with some of the best bat speed in pro baseball. The whip and looseness of his hips and hands at his size is very special. These changes not only unlocked a new gear of raw power for Anthony, who is now a career .284/.398/.473 hitter in the minors, but they also seem to have made him more comfortable and adept at moving the barrel around the zone. He posted a 75% contact rate in 2024 as he dominated Double- and Triple-A at age 20. The adjustments have also made Anthony more adept at covering fastballs running up and away from him, which was an issue for him in high school and upon his entry into pro ball, though they’ve also caused him to concede some of his ability to scoop low pitches. His cut often has a downward path, which is part of why he averaged just nine degrees of launch in 2024, though that’s up from six degrees in 2023. Anthony’s strikeout rates have hovered in the 23-25% range the last couple of seasons (a little south of the big league average) in part because he’s a very patient (bordering on passive) hitter who runs a ton of deep counts. His 39% swing rate from 2024 would have been the fourth-lowest in the majors last year. Though his swing isn’t totally optimized to get to all of his raw power right now, Anthony has such ridiculous juice that he’s going to hit for power anyway. LIke Jarren Duran before him, Anthony’s feel for actualizing that power in big league games will probably take a little bit of time to reach its apex, but at peak, Anthony will be a middle-of-the-order monster posting huge power and on-base percentages.

Speaking of Duran, the presence of him and Ceddanne Rafaela on the roster would likely usher Anthony to an outfield corner most of the time regardless of whether or not Roman could actually play center field, but as Anthony has filled out and become more physical, he has begun to slow down enough to shift his defensive projection to a corner anyway — probably right field because of his terrific arm. Boston has a glut of outfielders at the big league level, with Anthony charging hard behind them. He might already be a better option than Masataka Yoshida, and Rafaela’s swing-happy approach makes him a volatile player. It’s plausible we’ll see Anthony be added to Boston’s roster in the middle of the year if they’re in the thick of it with the other good teams in their division. If the big league club is again toward the back of the pack, then it’s more likely Anthony exhausts rookie eligibility in 2026.",,,,,,,,,,40,45,70,80,55,70,55,50,50,60,60,,,,,,
Dylan Crews,wsn,CF,"Crews has big power and speed, and altered his position in the batter’s box last year to better deal with fastballs around his hands.","Crews went wire-to-wire as one of the best 2023 draft prospects, if not the best. He was the top unsigned high schooler from the 2020 class, a toolshed who swung and missed on the summer showcase circuit more than teams felt comfortable with. He ended up at LSU rather than in pro ball, and from day one was among the toolsiest and most productive college hitters for three straight years. He slashed .380/.498/.689 and had more walks than strikeouts during his tenure at LSU. Crews’ first full pro season also went well. He slashed .270/.342/.451 split between Double-A Harrisburg and Triple-A Rochester, then was called up at the end of August to get his feet wet without exhausting rookie eligibility. His underlying data was much better than his surface-level stats during that stretch.

Crews can punish you to all fields. He’ll get extended on fastballs away from him and crush them the opposite way, and he can also turn on slower pitches on the middle two-thirds of the plate and hit some titanic blasts to left. His best swings feature unbelievable verve and explosion, with Crews’ lower body usage evoking Mike Trout. At times, the depth of Crews’ load will leave him late on fastballs. Early in 2024, he was really struggling with fastballs tailing in on his hands, but by the time he was in the big leagues at the end of the year, Crews had begun to move off the plate against righties (we won’t know how this impacts his plate coverage against sliders until we see more). He also cuts his stride with two strikes, but can still generate power because of how explosive the rest of his operation is. All of this is very similar to Jackson Chourio, and Crews will might need a similar adjustment period before he really takes off.

Some of the Chourio similarities extend to Crews’ defense. He can absolutely fly and will show you jailbreak-y, sub-4.1 run times. He easily has the speed to play center field, but his reads, routes, and ball skills aren’t great. His pure speed should enable him to remain in center field, but he’s probably going to underperform out there relative to his pure speed. The opposite is true on the bases, where Crews’ speed arguably plays up because of his feel and acumen. Even if he’s relegated to a corner due to the presence of superior on-roster options in center, he’s going to hit for enough power and make a big enough impact on the bases to be a star.",,,,,,,,,,45,50,60,60,50,60,70,70,40,45,55,,,,,,
Sebastian Walcott,tex,SS,"If you’re looking for the next Fernando Tatis Jr., this is your most likely candidate.","Walcott was seen some in the U.S. during the fall of 2021, and he leapt off the field because of his physicality and power. The Rangers international scouting group was originally connected to a player named Camilo Diaz for a rumored bonus of $3 million, but seemingly diverted to Walcott around this time (Diaz later signed with Houston). Walcott signed in January of 2023 and immediately stood apart from his peers on the backfields because of his size and bat speed. He went to the D.R. for the start of the 2023 DSL season, but was quickly promoted to Arizona and lit up the ACL up for a month (he was hondo’d at this time) before opponents realized he couldn’t recognize a breaking ball. He ended up having a .273/.325/.524 line in Arizona with terrifying peripherals, including a 6.4% walk rate and 32.5% strikeout rate. In 2024, the Rangers sent Walcott, who turned 18 during spring training, straight to High-A Hickory. Amazingly, he held his own there, slashing .261/.342/.443 with 10.6% walks (sigh of relief) and 25.5% strikeouts before earning a promotion to Double-A Frisco for the final week of the season.

As you are reading this Top 100 blurb, Walcott is still just 18 years old. He has immense physical ability, a cathedral ceiling, and the long-term athletic projection to be very good for a very long time. He looks like a future NFL wide receiver in his uniform and has elite hand speed in the batter’s box, which he generates with shockingly little effort for a hitter his age. There are some mechanical flaws and nits to pick with Walcott’s swing, but when you’re this talented, these tend not to matter. Walcott’s front side often opens up toward third base when he swings, leaving him very vulnerable to sliders away from him. His tendency to chase and miss against secondary stuff is still kind of scary, but his fastball swing decisions are very good, and overall, his baseline chase and two-strike chase were about the big league average in 2024. His bat path slopes down and tends to swat the baseball into the ground, unless Walcott is making contact way out in front of the plate, at which point those of you in the parking lot need to keep your head on a swivel. Despite his issues, Walcott is generating plus big league peak exit velos as a freaking 18-year-old, and just had a 125 wRC+ season in the mid-minors even though the paint on many aspects of his game is still wet. His stride direction might require eventual adjustment, but rather than intervene right now, I think it’s fine to see if Walcott’s timing and feel to hit come naturally once he’s challenged.

By the end of the season, Walcott had also leveled up on defense. He lacks the footspeed and twitch of most big league shortstops, but his ability to bend at his size is amazing, and Walcott’s short arm stroke (reminiscent of Manny Machado‘s) allows him to effortlessly send the baseball wherever it needs to go. His actions and exchange on slow rollers have also improved. By the end of the season, Walcott (who still has some accuracy hiccups) did not seem sped up or flustered by the speed of the game on defense like he had early in the season. Walcott’s ceiling as a power hitter is as big as any prospect in the minors, and of the players close to him, he pretty comfortably has the best chance at remaining at what is arguably the most valuable position in baseball. This guy is easily the odds on favorite to be the top prospect in baseball a year from now, and he’s a grade of breaking ball recognition away from being a 70 FV talent.",,,,,,,,,,30,45,60,80,45,70,45,45,40,50,60,,,,,,
Samuel Basallo,bal,C,"Basallo has Gary Sánchez‘s skill set, except from the left side of the plate.","Basallo is a power-hitting kaiju catching prospect who looks like a gear-wearing Rafael Devers. His swing looks a lot like Devers’, and he too has plus-plus power projection, a penchant for expanding the zone, plus arm strength, and some profound defensive flaws. Basallo became one of baseball’s best prospects in 2023, as the then-18 year-old hit .313/.402/.551 with 53 extra-base hits in 114 games and smooched Double-A. A stress fracture in Basallo’s right elbow, which was discovered just before 2024 spring training, kept him from catching until May and limited his action behind the dish for the entire season. He caught in just 56 games all year and donned the tools of ignorance on consecutive days only eight times, while splitting his remaining games nearly equally between first base and DH. He hit .289/.355/.465 as a 19-year-old at Double-A Bowie, then was called up to Norfolk for the final month of play, but didn’t really hit.

The elbow issue may have had a temporary impact on Basallo’s game, especially his throwing, which was a plus-plus attribute in 2023 and more of an above-average one in 2024. Basallo was popping closer to 1.95 on average rather than being in the 1.8s like he was in 2023, and his footwork remains kind of sloppy and immature. As is true of a lot of catchers his age (let alone his size), Basallo could stand to be more accurate and consistent coming out of his crouch, but he easily has the raw arm strength to catch, and if his peak form returns, he’s just some technical polish away from being a run-stopping weapon. His receiving isn’t good yet, but it isn’t so terrible that it damns Basallo permanently to first base. His ball blocking might be though. It’s this area of Basallo’s game that most needs to improve, especially when it comes to backhanding balls in the dirt. His size and mobility (especially when he’s moving to his left) are commensurate with the traits of a primary catcher, but if Basallo were promoted tomorrow, he’d probably be a ball-blocking liability.

Though his offensive numbers have been incredible (he’s a career .286/.364/.477 hitter and has always been young for his level), Basallo has some growing to do at the plate as well. He’s very chase-prone, including much more often against fastballs than is typical, but Basallo already has ridiculous left-handed power at age 20 and is going to grow into more. Ludicrously listed at 180 pounds, he’s actually more like 250 and is built like a sophomore edge rusher. He’s an unbelievably explosive rotator for an athlete his size, and Basallo’s peak exit velocities are already one or two standard deviations better than the big league average, depending on the metric. The players who make a huge big league impact despite a ton of chase and a contact rate hovering around 70% (like Basallo’s) all have this kind of power, hitters like Salvador Perez, Teoscar Hernández, and Bryce Harper. Basallo’s power is absolutely going to be at the level of those guys and other sub-70% contact sluggers, and if he can refine his approach as he matures, he’s going to become one of the best hitting catchers in baseball in his prime.

Basallo’s chalk 40-man platform year is 2025. He’s been promoted ahead of that pace so far, but it’s pretty rare for catchers with his particular issues to be in the express lane to the big leagues. If the Orioles just want access to Basallo’s bat and decide to fast track him as a DH, or proactively move him to first base knowing Adley Rutschman is in place as the franchise catcher for a while, then a late-2025 debut feels possible. If the Orioles want to give Basallo the best chance of having immediate success as a big league catcher, then he’s more likely on a late-2026 or spring 2027 trajectory. There are few other prospects in the minors who have this kind of offensive ceiling and a chance to play a premium position.",,,,,,,,,,30,40,70,80,55,70,40,40,30,45,60,,,,,,
Andrew Painter,phi,SP,"Painter looked fine upon his return from TJ and was his usual 96-100 with great breaking stuff. As soon as he shows his stamina and command have also returned, he’ll be an impact big league starter.","Painter ended 2022 as one of the best two or three pitching prospects in baseball. He overpowered hitters with his fastball at the lower levels of the minors, but by the end of the year, he was carving up Double-A and looked like a fully-formed, four-pitch monster. He entered the spring of 2023 with a legitimate shot to break camp in the Phillies rotation, like a pitching version of Fernando Tatis Jr. from a few years earlier. Instead, Painter’s elbow barked and he was shut down with a partial UCL tear after his first Grapefruit League outing. Painter and the Phillies, who rightly believed they’d be contenders, opted for a plasma-rich platelet injection rather than immediate surgery, in the hopes that the right-hander would be able to pitch at the end of the season and possibly into October. But Painter’s elbow didn’t heal completely from the PRP and rest, and he needed Tommy John toward the end of July. The timing of the surgery meant his rehab lasted through the entire 2024 regular season, in essence costing Painter two whole years. He was sent to the Arizona Fall League, where he again looked excellent. In six outings, Painter pitched 15.2 innings, struck out 18, and allowed 14 baserunners, usually sitting 94-98 while touching 100 and flashing the same plus slider and curveball combo that made him lethal in 2022.

Good luck getting on top of Painter’s fastball when he locates it at the top of the zone. Even though he’s so big and his pitches travel downhill toward the imaginary rectangle, it has still been hard for hitters to snatch his high fastballs, similar to the way Justin Verlander‘s fastball plays despite his size and release height. Both of Painter’s breaking balls have huge movement but are still a bit of a work-in-progress in terms of their usage. Painter is much more comfortable locating his breaking balls in the zone rather than as chase pitches. His slider has two-plane sweep and tended to be in the 86-90 mph range in Arizona, while his curveball is more north/south and sits 82-85 mph. Perfecting his slider locations is one key to Painter maxing out; the other is finding a weapon to thwart lefties. He can pitch backwards off his curveball and finish them with high fastballs, but Painter would do well to either find more consistent curveball finish below the zone, or a better changeup, to do so. He began incorporating more changeups into his mix later in his AFL run. The pitch was 7% of Painter’s usage late in 2022 after he had been promoted to Reading, and he will show you a really good one every fourth try or so. He’s loose enough to project this pitch as being a fourth above-average weapon down the line.

Phillies POBO Dave Dombrowski told reporters in December that Painter’s 2025 season will start on a delay. In order to backload his innings for the middle and end of the season, he’s on track to pitch in competitive games “July-ish.” Independent of his initial innings cap, Painter is one of the best pitching prospects in baseball. He extends the shelf life of an already stacked Phillies rotation deep into the future.",60,70,55,60,50,60,96,98,100,,,,,,,,,,,,55,60,40,50,,
Kristian Campbell,bos,2B,Campbell was a speedy contact hitter in college whose drastic change in approach has unlocked a ton of power in pro ball. He is still searching for a defensive home.,"At Georgia Tech, Campbell was an outstanding slash-and-dash leadoff man who was among the most difficult Division-I hitters to make swing and miss during the 2023 season. He hit .376/.484/.549 and struck out just 17 times in 217 PA during his draft year as an age-eligible redshirt freshman. The Red Sox have essentially made him into a Jarren Duran sequel, taking another speedy, contact-oriented second baseman and making subtle changes to his swing and approach, resulting in a seismic shift to his offensive output, which now includes big power. Campbell posted a .997 OPS in his first full pro season and raced from High- to Triple-A by the end of the year.

Campbell is now swinging with damage-seeking intent and has been able to lift the ball more (three degrees of launch in 2023, nine degrees in 2024). The power he’s generating with his new style is shocking. His high-end exit velocities are now comfortably plus on the big league scale (he hit a ball 114 mph last year), and he’s doing huge damage to all fields.

These changes have come at the expense of some of Campbell’s ability to make contact (he had a 90% contact rate in college, 81% in pro ball 2023, and 78% in 2024), but not so much that he’s totally out of control and at risk of not hitting. His cut still looks weird, like it did in college, when he was often chopping down at the baseball. But no matter how you slice up Campbell’s performance, statistically or visually, there isn’t a pitch type, location, or velocity threshold where you really encounter a red flag. This weirdo swing works for Campbell even though it’s unconventional, and he’s now proven it across 340 upper-level plate appearances. He crushes mistakes in the middle of the plate and squibs hard-hit contact around the diamond on pitches closer to the edges of the zone. And unlike a lot of the powerless college bat-control mavens who go on Day Two of the draft, Campbell isn’t undersized or unathletic; he’s a strapping 6-foot-3 guy with explosive rotational athleticism. This isn’t a skills-over-tools type who fails to check the physical scouting boxes; this is a projectable athlete who has only played high-level baseball for two seasons.

The early part of the 2025 season needs to be about Campbell finding a viable defensive position. He played second base at Tech, then mixed in a lot of center field during the first half of 2024 before that experiment took a back seat to reps at shortstop during the second half. Campbell is a plus runner who has the wheels for center, but his feel for the position (especially coming in on balls in front of him) is very raw. His athleticism bailed him out of some bad reads last year; Campbell would get twisted around out there and still find a crazy way to make the play, which was pretty exciting given the context of his development. The Red Sox already have lots of good upper-level outfield options, though, so while continued experimentation in the outfield might have been more worthwhile for other orgs, his best chance at cracking Boston’s lineup soon is on the infield. Campbell is at his best when he is moving from right to left while making the play. He doesn’t have the pure arm strength to play shortstop, but the Red Sox were positioning him deep in the hole so that he could make most of his throws with his whole body’s momentum moving toward first base. If Campbell is asked to make throws from any kind of odd platform, his strength and accuracy waiver, and this includes when he’s playing second base. His arm accuracy issues might always mean he’s a bit of a sketchy option on defense even though other aspects of his game (range, hands) are fine. Where Campbell plays at the big league level on any given day could be dictated by where the ball is least likely to be hit based on the matchup, and he might continue to rove. He’s going to be a unique impact player, both in terms of his style and roster fit.",,,,,,,,,,40,50,55,60,45,60,60,60,30,40,40,,,,,,
Dalton Rushing,lad,C,Rushing has developed into a good defensive catcher and well-rounded offensive threat. He may force the Dodgers to find a way to roster both him and Will Smith at the same time.,"Hidden under the Henry Davis bushel at Louisville, Rushing finally got regular reps in 2022 and played himself into the draft’s first day. He was a bat-first prospect whose defensive issues (ball blocking, throwing accuracy, a general lack of polish as a receiver) seem to have been due to a lack of playing time rather than a lack of talent, as Rushing has improved fairly quickly in a lot of these areas whilst raking his way to Triple-A. He’s a career .273/.410/.520 hitter as a pro and is approaching the big leagues so quickly that it might force the Dodgers to roster him and Will Smith simultaneously, a possibility that has led to experimentation with Rushing at first base (2023) and in left field (2024). Rushing’s plus-plus arm (he absolutely launches out of his crouch and routinely pops below 1.9 seconds) would be kind of a waste at either position. Rushing’s throwing accuracy can still be a tad wayward and he remains a below-average receiver and pitch framer, but he’s gotten much better at picking balls in the dirt, and he’s started to backpick runners at first when he has the opportunity. There’s still work to be done here, and Rushing’s framing around the edge of the zone really pulls down his overall defensive ability right now, but his arm and the rate of his progress in other areas is very exciting.

On offense, Rushing’s muscular physique generates above-average raw power and his swing is tailored to get to it. In fact, he’s so geared to launch that Rushing might outproduce his raw power in games. It’s enough offense that it doesn’t really matter what position Rushing plays; he’s going to hit enough to profile. If he can keep improving as a defender, he’ll be a multi-time All-Star.",,,,,,,,,,40,50,55,55,50,55,45,45,40,45,70,,,,,,
Jackson Jobe,det,SP,"After a rough pro debut, Jobe altered the makeup of his secondary stuff and has been tracking as one of the best pitching prospects in baseball for the last couple of years.","Jobe was the consensus top high school arm in the 2021 draft and earned a bonus of nearly $7 million as the third overall pick. He had a somewhat rocky first full season in pro ball and his velocity was down a bit compared to his peak pre-draft look. Hitters seemed unphased by Jobe’s trademark curveball despite its elite spin and huge depth. He struggled to throw strikes and the visual quality of his stuff regressed. Then Jobe was put on the IL to start 2023 and missed two and a half months recovering from lumbar spine inflammation. When Jobe returned in mid-June, he did so with a vengeance; he tallied 103 strikeouts and just 11 walks in 79.2 IP (including his Fall League stint), and his fastball often touched 98-99. The first half of Jobe’s 2024 season was interrupted by a hamstring strain, but he returned in June and by the end of July had stretched back out to six inning per start while holding his peak stuff. He debuted in Detroit’s bullpen late in the season.

Jobe scrapped his curveball in 2023 (more on that in a second) and now utilizes a firm 87-92 mph cutter and a low-80s sweeper (averaging 3,000 rpm), while also having upped his changeup usage considerably. Neither of Jobe’s new breaking balls has consistent quality of finish just yet; both are a little better than average. His changeup is arguably his nastiest secondary now, as Jobe uses it against both lefties and righties. The changes he’s made in response to the ineffectiveness of his 2022 breaking ball have made Jobe a more complete pitcher. A few days before Top 100 publication, the Detroit Free Press reported that Jobe was going to reintegrate a curveball and add a sinker to his repertoire in 2025.

Will we see this kind of velocity from Jobe across 120-140 innings? We didn’t quite get to know the answer to the workload question in 2024 because of his IL stint, but at the end of the season he looked healthy, nasty, and, from a craftsmanship standpoint, fairly ready to pitch in the big leagues. He is arguably the top pitching prospect in baseball behind Sasaki if you value Jobe’s proximity and stability relative to Andrew Painter.",60,60,50,55,50,60,94,98,99,,,,,,,,,,,,,,55,60,55,55
Carson Williams,tbr,SS,"A future Gold Glove shortstop, Williams also has plus power, but struggles to hit breaking balls.","Williams was a two-way high school player who was talented enough to be considered a prospect as both a shortstop and a pitcher. The Rays gave him a $2.3 million bonus to keep him from heading to Cal, and have developed him solely as a hitter. During the last three years, Williams has become one of the better prospects in all of baseball, averaging 20 annual homers as a young-for-the-level player who also plays Gold Glove-caliber defense at shortstop.

In 2024, Williams slashed .256/.352/.469 with 20 bombs and 33 steals in 44 attempts at Double-A Montgomery. That’s not to say that Williams is a lock to hit. He’s struck out more than 30% of the time so far in pro ball, and he has severe issues contacting breaking balls. The 65-68% contact rates he’s posted the last couple of years are scraping the bottom of the big league barrel at shortstop. The players in that area who tend to succeed (a select few: Elly De La Cruz, Oneil Cruz, Ezequiel Tovar) do so because they have enormous tools, and thankfully so does Williams, who is still a fairly skinny 21-year-old and already generating above-average big league power with the flick of his wrists. That and his premium defensive ability are the two attributes that support Williams’ entire profile.

Williams is an unbelievable athlete and flashy shortstop defender who is as creative as he is talented. His range, body control, and plus-plus throwing arm make many tough plays look routine, and make some seemingly impossible plays possible. This defensive ability gives Williams a very high floor. The bummer version of Williams looks something like Adalberto Mondesi, while the version who polishes his hit tool enough for Williams to be a consistent All-Star looks more like Willy Adames.",,,,,,,,,,30,35,55,60,40,55,55,55,60,70,70,,,,,,
